loss,accuracy,val_loss,val_accuracy,epoch
2.0797245502471924,0.5481182336807251,1.347854495048523,0.6588276624679565,1
1.6320321559906006,0.6517238616943359,0.9227117300033569,0.7567567825317383,2
1.5414984226226807,0.6828669309616089,1.2752091884613037,0.7360477447509766,3
1.4913215637207031,0.7135713696479797,0.9500143527984619,0.795015811920166,4
1.4177286624908447,0.733660876750946,1.0138978958129883,0.790452778339386,5
1.39540433883667,0.7461180686950684,0.8634267449378967,0.8244998455047607,6
1.313025712966919,0.7579612135887146,0.8757671117782593,0.833625853061676,7
1.4362657070159912,0.7604175806045532,0.8743139505386353,0.8360828161239624,8
1.403661847114563,0.7677866220474243,0.994499921798706,0.8301158547401428,9
1.3318032026290894,0.7820861339569092,0.9604966044425964,0.8360828161239624,10
1.3353374004364014,0.7844547629356384,0.9196857810020447,0.8546858429908752,11
